# range, measurement
7.551,0.000
7.601,0.000
7.651,0.000
7.701,0.000
7.751,0.000
7.801,0.000
7.851,0.000
7.901,0.000
7.951,0.000
8.001,0.000
8.051,0.000
8.101,0.000
8.151,0.000
8.201,0.000
8.251,0.000
8.301,0.000
8.351,0.000
8.401,0.000
8.451,0.000
8.501,0.000
8.551,0.000
8.601,0.000
8.651,0.000
8.701,0.000
8.751,0.000
8.801,0.000
8.851,0.000
8.901,0.000
8.951,0.000
9.001,0.000
9.051,0.000
9.101,0.000
9.151,0.000
9.201,0.000
9.251,0.000
9.301,0.000
9.351,0.000
9.401,0.000
9.451,0.000
9.501,0.000
9.551,0.000
9.601,0.000
9.651,0.000
9.701,0.000
9.751,0.000
9.801,0.000
9.851,0.000
9.901,0.000
9.951,0.000
10.001,0.000
10.051,0.000
10.101,0.000
10.151,0.000
10.201,0.000
10.251,0.000
10.301,0.000
10.351,0.000
10.401,0.000
10.451,0.000
10.501,0.000
10.551,0.000
10.601,0.000
10.651,0.000
10.701,0.000
10.751,0.000
10.801,0.000
10.851,0.000
10.901,0.000
10.951,0.000
11.001,0.000
11.051,0.000
11.101,0.000
11.151,0.000
11.201,0.000
11.251,0.000
11.301,0.000
11.351,0.000
11.401,0.000
11.451,0.000
11.501,0.000
11.551,0.000
11.601,0.000
11.651,0.000
11.701,0.000
11.751,0.000
11.801,0.000
11.851,0.000
11.901,0.000
11.951,0.000
12.001,0.000
12.051,0.000
12.101,0.000
12.151,0.000
12.201,0.000
12.251,0.000
12.301,0.000
12.351,0.000
12.401,0.000
12.451,0.000
12.501,0.000
12.551,0.000
12.601,0.000
12.651,0.000
12.701,0.000
12.751,0.000
12.801,0.000
12.851,0.000
12.901,0.000
12.951,0.000
13.001,0.000
13.051,0.000
13.101,0.000
13.151,0.000
13.201,0.000
13.251,0.000
13.301,0.000
13.351,0.000
13.401,0.000
13.451,0.000
13.501,0.000
13.551,0.000
13.601,0.000
13.651,0.000
13.701,0.000
13.751,0.000
13.801,0.000
13.851,0.000
13.901,0.000
13.951,0.000
14.001,0.000
14.051,0.000
14.101,0.000
14.151,0.000
14.201,0.000
14.251,0.000
14.301,0.000
14.351,0.000
14.401,0.000
14.451,0.000
14.501,0.000
14.551,0.000
14.601,0.000
14.651,0.000
14.701,0.000
14.751,0.000
14.801,0.000
14.851,0.000
14.901,0.000
14.951,0.000
15.002,0.000
15.052,0.000
15.102,0.000
15.152,0.000
15.202,0.000
15.252,0.000
15.302,0.000
15.352,0.000
15.402,0.000
15.452,0.000
15.502,0.000
15.552,0.000
15.602,0.000
15.652,0.000
15.702,0.000
15.752,0.000
15.802,0.000
15.852,0.000
15.902,0.000
15.952,0.000
16.002,0.000
16.052,0.000
16.102,0.000
16.152,0.000
16.202,0.000
16.252,0.000
16.302,0.000
16.352,0.000
16.402,0.000
16.452,0.000
16.502,0.000
16.552,0.000
16.602,0.000
16.652,0.000
16.702,0.000
16.752,0.000
16.802,0.000
16.852,0.000
16.902,0.000
16.952,0.000
17.002,0.000
17.052,0.000
17.102,0.000
17.152,0.000
17.202,0.000
17.252,0.000
17.302,0.000
17.352,0.000
17.402,0.000
17.452,0.000
17.502,0.000
17.552,0.000
17.602,0.000
17.652,0.000
17.702,0.000
17.752,0.000
17.802,0.000
17.852,0.000
17.902,0.000
17.952,0.000
18.002,0.000
18.052,0.000
18.102,0.000
18.152,0.000
18.202,0.000
18.252,0.000
18.302,0.000
18.352,0.000
18.402,0.000
18.452,0.000
18.502,0.000
18.552,0.000
18.602,0.000
18.652,0.000
18.702,0.000
18.752,0.000
18.802,0.000
18.852,0.000
18.902,0.000
18.952,0.000
19.002,0.000
19.052,0.000
19.102,0.000
19.152,0.000
19.202,0.000
19.252,0.000
19.302,0.000
19.352,0.000
19.402,0.000
19.452,0.000
19.502,0.000
19.552,0.000
19.602,0.000
19.652,0.000
19.702,0.000
19.752,0.000
19.802,0.000
19.852,0.000
19.902,0.000
19.952,0.000
20.002,0.000
20.052,0.000
20.102,0.000
20.152,0.000
20.202,0.000
20.252,0.000
20.302,0.000
20.352,0.000
20.402,0.000
20.452,0.000
20.502,0.000
20.552,0.000
20.602,0.000
20.652,0.000
20.702,0.000
20.752,0.000
20.802,0.000
20.852,0.000
20.902,0.000
20.952,0.000
21.002,0.000
21.052,0.000
21.102,0.000
21.152,0.000
21.202,0.000
21.252,0.000
21.302,0.000
21.352,0.000
21.402,0.000
21.452,0.000
21.502,0.000
21.552,0.000
21.602,0.000
21.652,0.000
21.702,0.000
21.752,0.000
21.802,0.000
21.852,0.000
21.902,0.000
21.952,0.000
22.002,0.000
22.052,0.000
22.102,0.000
22.152,0.000
22.202,0.000
22.252,0.000
22.302,0.000
22.352,0.000
22.402,0.000
22.452,0.000
22.502,0.000
22.552,0.000
22.602,0.000
22.652,0.000
22.702,0.000
22.752,0.000
22.802,0.000
22.852,0.000
22.902,0.000
22.952,0.000
23.002,0.000
23.052,0.000
23.102,0.000
23.152,0.000
23.202,0.000
23.252,0.000
23.302,0.000
23.352,0.000
23.402,0.000
23.452,0.000
23.502,0.000
23.552,0.000
23.602,0.000
23.652,0.000
23.702,0.000
23.752,0.000
23.802,0.000
23.852,0.000
23.902,0.000
23.952,0.000
24.002,0.000
24.052,0.000
24.102,0.000
24.152,0.000
24.202,0.000
24.252,0.000
24.302,0.000
24.352,0.000
24.402,0.000
24.452,0.000
24.502,0.000
24.552,0.000
24.602,0.000
24.652,0.000
24.702,0.000
24.752,0.000
24.802,0.000
24.852,0.000
24.902,0.000
24.952,0.000
25.003,0.000
25.053,0.000
25.103,0.000
25.153,0.000
25.203,0.000
25.253,0.000
25.303,0.000
25.353,0.000
25.403,0.000
25.453,0.000
25.503,0.000
25.553,0.000
25.603,0.000
25.653,0.000
25.703,0.000
25.753,0.000
25.803,0.000
25.853,0.000
25.903,0.000
25.953,0.000
26.003,0.000
26.053,0.000
26.103,0.000
26.153,0.000
26.203,0.000
26.253,0.000
26.303,0.000
26.353,0.000
26.403,0.000
26.453,0.000
26.503,0.000
26.553,0.000
26.603,0.000
26.653,0.000
26.703,0.000
26.753,0.000
26.803,0.000
26.853,0.000
26.903,0.000
26.953,0.000
27.003,0.000
27.053,0.000
27.103,0.000
27.153,0.000
27.203,0.000
27.253,0.000
27.303,0.000
27.353,0.000
27.403,0.000
27.453,0.000
27.503,0.000
27.553,0.000
27.603,0.000
27.653,0.000
27.703,0.000
27.753,0.000
27.803,0.000
27.853,0.000
27.903,0.000
27.953,0.000
28.003,0.000
28.053,0.000
28.103,0.000
28.153,0.000
28.203,0.000
28.253,0.000
28.303,0.000
28.353,0.000
28.403,0.000
28.453,0.000
28.503,0.000
28.553,0.000
28.603,0.000
28.653,0.000
28.703,0.000
28.753,0.000
28.803,0.000
28.853,0.000
28.903,0.000
28.953,0.000
29.003,0.000
29.053,0.000
29.103,0.000
29.153,0.000
29.203,0.000
29.253,0.000
29.303,0.000
29.353,0.000
29.403,0.000
29.453,0.000
29.503,0.000
29.553,0.000
29.603,0.000
29.653,0.000
29.703,0.000
29.753,0.000
29.803,0.000
29.853,0.000
29.903,0.000
29.953,0.000
30.003,0.000
30.053,0.000
30.103,0.000
30.153,0.000
30.203,0.000
30.253,0.000
30.303,0.000
30.353,0.000
30.403,0.000
30.453,0.000
30.503,0.000
30.553,0.000
30.603,0.000
30.653,0.000
30.703,0.000
30.753,0.000
30.803,0.000
30.853,0.000
30.903,0.000
30.953,0.000
31.003,0.000
31.053,0.000
31.103,0.000
31.153,0.000
31.203,0.000
31.253,0.000
31.303,0.000
31.353,0.000
31.403,0.000
31.453,0.000
31.503,0.000
31.553,0.000
31.603,0.000
31.653,0.000
31.703,0.000
31.753,0.000
31.803,0.000
31.853,0.000
31.903,0.000
31.953,0.000
32.003,0.000
32.053,0.000
32.103,0.000
32.153,0.000
32.203,0.000
32.253,0.000
32.303,0.000
32.353,0.000
32.403,0.000
32.453,0.000
32.503,0.000
32.553,0.000
32.603,0.000
32.653,0.000
32.703,0.000
32.753,0.000
32.803,0.000
32.853,0.000
32.903,0.000
32.953,0.000
33.003,0.000
33.053,0.000
33.103,0.000
33.153,0.000
33.203,0.000
33.253,0.000
33.303,0.000
33.353,0.000
33.403,0.000
33.453,0.000
33.503,0.000
33.553,0.000
33.603,0.000
33.653,0.000
33.703,0.000
33.753,0.000
33.803,0.000
33.853,0.000
33.903,0.000
33.953,0.000
34.003,0.000
34.053,0.000
34.103,0.000
34.153,0.000
34.203,0.000
34.253,0.000
34.303,0.000
34.353,0.000
34.403,0.000
34.453,0.000
34.503,0.000
34.553,0.000
34.603,0.000
34.653,0.000
34.703,0.000
34.753,0.000
34.803,0.000
34.853,0.000
34.903,0.000
34.953,0.000
35.004,0.000
35.054,0.000
35.104,0.000
35.154,0.000
35.204,0.000
35.254,0.000
35.304,0.000
35.354,0.000
35.404,0.000
35.454,0.000
35.504,0.000
35.554,0.000
35.604,0.000
35.654,0.000
35.704,0.000
35.754,0.000
35.804,0.000
35.854,0.000
35.904,0.000
35.954,0.000
36.004,0.000
36.054,0.000
36.104,0.000
36.154,0.000
36.204,0.000
36.254,0.000
36.304,0.000
36.354,0.000
36.404,0.000
36.454,0.000
36.504,0.000
36.554,0.000
36.604,0.000
36.654,0.000
36.704,0.000
36.754,0.000
36.804,0.000
36.854,0.000
36.904,0.000
36.954,0.000
37.004,0.000
37.054,0.000
37.104,0.000
37.154,0.000
37.204,0.000
37.254,0.000
37.304,0.000
37.354,0.000
37.404,0.000
37.454,0.000
37.504,0.000
37.554,0.000
37.604,0.000
37.654,0.000
37.704,0.000
37.754,0.000
37.804,0.000
37.854,0.000
37.904,0.000
37.954,0.000
38.004,0.000
38.054,0.000
38.104,0.000
38.154,0.000
38.204,0.000
38.254,0.000
38.304,0.000
38.354,0.000
38.404,0.000
38.454,0.000
38.504,0.000
38.554,0.000
38.604,0.000
38.654,0.000
38.704,0.000
38.754,0.000
38.804,0.000
38.854,0.000
38.904,0.000
38.954,0.000
39.004,0.000
39.054,0.000
39.104,0.000
39.154,0.000
39.204,0.000
39.254,0.000
39.304,0.000
39.354,0.000
39.404,0.000
39.454,0.000
39.504,0.000
39.554,0.000
39.604,0.000
39.654,0.000
39.704,0.000
39.754,0.000
39.804,0.000
39.854,0.000
39.904,0.000
39.954,0.000
40.004,0.000
40.054,0.000
40.104,0.000
40.154,0.000
40.204,0.000
40.254,0.000
40.304,0.000
40.354,0.000
40.404,0.000
40.454,0.000
40.504,0.000
40.554,0.000
40.604,0.000
40.654,0.000
40.704,0.000
40.754,0.000
40.804,0.000
40.854,0.000
40.904,0.000
40.954,0.000
41.004,0.000
41.054,0.000
41.104,0.000
41.154,0.000
41.204,0.000
41.254,0.000
41.304,0.000
41.354,0.000
41.404,0.000
41.454,0.000
41.504,0.000
41.554,0.000
41.604,0.000
41.654,0.000
41.704,0.000
41.754,0.000
41.804,0.000
41.854,0.000
41.904,0.000
41.954,0.000
42.004,0.000
42.054,0.000
42.104,0.000
42.154,0.000
42.204,0.000
42.254,0.000
42.304,0.000
42.354,0.000
42.404,0.000
42.454,0.000
42.504,0.000
42.554,0.000
42.604,0.000
42.654,0.000
42.704,0.000
42.754,0.000
42.804,0.000
42.854,0.000
42.904,0.000
42.954,0.000
43.004,0.000
43.054,0.000
43.104,0.000
43.154,0.000
43.204,0.000
43.254,0.000
43.304,0.000
43.354,0.000
43.404,0.000
43.454,0.000
43.504,0.000
43.554,0.000
43.604,0.000
43.654,0.000
43.704,0.000
43.754,0.000
43.804,0.000
43.854,0.000
43.904,0.000
43.954,0.000
44.004,0.000
44.054,0.000
44.104,0.000
44.154,0.000
44.204,0.000
44.254,0.000
44.304,0.000
44.354,0.000
44.404,0.000
44.454,0.000
44.504,0.000
44.554,0.000
44.604,0.000
44.654,0.000
44.704,0.000
44.754,0.000
44.804,0.000
44.854,0.000
44.904,0.000
44.954,0.000
45.005,0.000
45.055,0.000
45.105,0.000
45.155,0.000
45.205,0.000
45.255,0.000
45.305,0.000
45.355,0.000
45.405,0.000
45.455,0.000
45.505,0.000
45.555,0.000
45.605,0.000
45.655,0.000
45.705,0.000
45.755,0.000
45.805,0.000
45.855,0.000
45.905,0.000
45.955,0.000
46.005,0.000
46.055,0.000
46.105,0.000
46.155,0.000
46.205,0.000
46.255,0.000
46.305,0.000
46.355,0.000
46.405,0.000
46.455,0.000
46.505,0.000
46.555,0.000
46.605,0.000
46.655,0.000
46.705,0.000
46.755,0.000
46.805,0.000
46.855,0.000
46.905,0.000
46.955,0.000
47.005,0.000
47.055,0.000
47.105,0.000
47.155,0.000
47.205,0.000
47.255,0.000
47.305,0.000
47.355,0.000
47.405,0.000
47.455,0.000
47.505,0.000
47.555,0.000
47.605,0.000
47.655,0.000
47.705,0.000
47.755,0.000
47.805,0.000
47.855,0.000
47.905,0.000
47.955,0.000
48.005,0.000
48.055,0.000
48.105,0.000
48.155,0.000
48.205,0.000
48.255,0.000
48.305,0.000
48.355,0.000
48.405,0.000
48.455,0.000
48.505,0.000
48.555,0.000
48.605,0.000
48.655,0.000
48.705,0.000
48.755,0.000
48.805,0.000
48.855,0.000
48.905,0.000
48.955,0.000
49.005,0.000
49.055,0.000
49.105,0.000
49.155,0.000
49.205,0.000
49.255,0.000
49.305,0.000
49.355,0.000
49.405,0.000
49.455,0.000
49.505,0.000
49.555,0.000
49.605,0.000
49.655,0.000
49.705,0.000
49.755,0.000
49.805,0.000
49.855,0.000
49.905,0.000
49.955,0.000
50.005,0.176
50.055,-0.378
50.105,0.279
50.155,0.161
50.205,-0.297
50.255,0.070
50.305,-0.043
50.355,0.190
50.405,0.116
50.455,-0.133
50.505,0.022
50.555,-0.172
50.605,0.250
50.655,-0.154
50.705,0.401
50.755,0.172
50.805,0.298
50.855,-0.061
50.905,-0.083
50.955,-0.160
51.005,0.401
51.055,0.316
51.105,-0.015
51.155,0.076
51.205,0.207
51.255,0.134
51.305,-0.003
51.355,0.310
51.405,0.078
51.455,-0.248
51.505,0.198
51.555,0.561
51.605,0.166
51.655,-0.040
51.705,0.272
51.755,0.315
51.805,0.211
51.855,0.226
51.905,0.116
51.955,0.305
52.005,0.249
52.055,-0.043
52.105,0.250
52.155,0.001
52.205,0.191
52.255,0.067
52.305,0.387
52.355,0.391
52.405,0.339
52.455,0.413
52.505,0.353
52.555,0.334
52.605,0.017
52.655,0.564
52.705,0.182
52.755,0.373
52.805,0.092
52.855,0.629
52.905,0.131
52.955,0.388
53.005,0.557
53.055,0.555
53.105,0.035
53.155,0.243
53.205,0.503
53.255,0.499
53.305,0.395
53.355,0.004
53.405,0.738
53.455,0.314
53.505,-0.024
53.555,0.534
53.605,0.463
53.655,0.112
53.705,0.523
53.755,0.325
53.805,0.401
53.855,0.392
53.905,0.154
53.955,0.240
54.005,0.362
54.055,0.472
54.105,0.543
54.155,0.293
54.205,0.234
54.255,0.021
54.305,0.189
54.355,0.425
54.405,0.578
54.455,0.234
54.505,0.476
54.555,0.183
54.605,0.521
54.655,0.496
54.705,0.319
54.755,0.583
54.805,0.301
54.855,0.524
54.905,0.475
54.955,0.734
55.006,0.251
55.056,0.971
55.106,0.485
55.156,0.681
55.206,0.255
55.256,0.582
55.306,0.469
55.356,0.352
55.406,0.821
55.456,0.406
55.506,0.394
55.556,0.469
55.606,0.532
55.656,0.523
55.706,0.605
55.756,0.914
55.806,0.667
55.856,0.314
55.906,0.599
55.956,0.377
56.006,0.677
56.056,0.656
56.106,0.384
56.156,0.579
56.206,0.526
56.256,0.437
56.306,0.871
56.356,0.502
56.406,0.694
56.456,0.438
56.506,0.734
56.556,0.762
56.606,0.662
56.656,0.977
56.706,0.594
56.756,0.865
56.806,0.568
56.856,0.943
56.906,0.242
56.956,0.712
57.006,0.626
57.056,0.906
57.106,0.957
57.156,0.623
57.206,0.849
57.256,0.550
57.306,0.675
57.356,0.975
57.406,0.683
57.456,0.812
57.506,0.507
57.556,0.788
57.606,0.406
57.656,0.728
57.706,0.994
57.756,0.999
57.806,1.131
57.856,1.131
57.906,1.213
57.956,0.672
58.006,0.932
58.056,0.709
58.106,0.764
58.156,0.603
58.206,0.995
58.256,0.727
58.306,0.902
58.356,0.419
58.406,0.767
58.456,1.141
58.506,0.947
58.556,0.555
58.606,0.921
58.656,1.178
58.706,0.785
58.756,1.111
58.806,0.926
58.856,1.032
58.906,0.718
58.956,0.892
59.006,0.994
59.056,0.498
59.106,1.173
59.156,1.016
59.206,0.793
59.256,1.061
59.306,1.110
59.356,1.063
59.406,0.583
59.456,0.824
59.506,0.951
59.556,1.142
59.606,0.649
59.656,1.234
59.706,1.003
59.756,0.971
59.806,0.706
59.856,0.875
59.906,1.448
59.956,0.959
60.006,1.127
60.056,0.913
60.106,1.179
60.156,1.031
60.206,0.742
60.256,1.162
60.306,0.694
60.356,0.756
60.406,0.794
60.456,1.281
60.506,1.207
60.556,0.961
60.606,1.290
60.656,1.096
60.706,1.271
60.756,1.044
60.806,1.255
60.856,1.316
60.906,0.942
60.956,0.710
61.006,1.295
61.056,1.342
61.106,1.102
61.156,1.484
61.206,1.152
61.256,0.688
61.306,0.998
61.356,0.760
61.406,1.125
61.456,1.222
61.506,1.016
61.556,1.069
61.606,0.837
61.656,1.703
61.706,0.913
61.756,0.853
61.806,1.515
61.856,1.228
61.906,1.248
61.956,1.294
62.006,1.634
62.056,1.486
62.106,1.330
62.156,1.184
62.206,1.130
62.256,1.276
62.306,1.244
62.356,1.279
62.406,1.281
62.456,1.231
62.506,1.432
62.556,1.204
62.606,1.350
62.656,1.004
62.706,1.134
62.756,1.424
62.806,0.995
62.856,1.301
62.906,1.159
62.956,1.186
63.006,1.077
63.056,1.226
63.106,0.800
63.156,1.464
63.206,1.110
63.256,1.754
63.306,1.776
63.356,1.443
63.406,1.566
63.456,1.478
63.506,1.169
63.556,1.243
63.606,1.189
63.656,1.349
63.706,1.593
63.756,1.353
63.806,1.380
63.856,1.239
63.906,1.157
63.956,1.360
64.006,1.472
64.056,1.241
64.106,1.416
64.156,1.264
64.206,1.322
64.256,1.529
64.306,1.317
64.356,1.712
64.406,1.492
64.456,1.688
64.506,1.234
64.556,1.194
64.606,1.265
64.656,1.503
64.706,1.757
64.756,1.528
64.806,1.443
64.856,1.531
64.906,1.606
64.956,1.583
65.007,1.434
65.057,1.616
65.107,1.721
65.157,1.483
65.207,1.360
65.257,1.600
65.307,1.596
65.357,1.556
65.407,1.532
65.457,1.728
65.507,1.438
65.557,1.792
65.607,1.625
65.657,1.651
65.707,1.763
65.757,1.408
65.807,1.556
65.857,1.379
65.907,1.573
65.957,1.660
66.007,1.633
66.057,1.238
66.107,2.107
66.157,1.515
66.207,1.755
66.257,1.772
66.307,1.999
66.357,2.110
66.407,2.028
66.457,1.959
66.507,1.834
66.557,1.995
66.607,1.953
66.657,1.408
66.707,1.467
66.757,1.694
66.807,1.823
66.857,1.852
66.907,2.057
66.957,1.667
67.007,1.660
67.057,1.500
67.107,2.031
67.157,1.681
67.207,1.967
67.257,1.794
67.307,1.827
67.357,1.725
67.407,1.665
67.457,1.653
67.507,1.633
67.557,1.980
67.607,1.502
67.657,1.915
67.707,1.908
67.757,1.791
67.807,1.991
67.857,1.905
67.907,1.994
67.957,1.464
68.007,2.019
68.057,2.018
68.107,1.937
68.157,2.099
68.207,1.837
68.257,1.926
68.307,1.410
68.357,1.604
68.407,1.700
68.457,2.002
68.507,1.819
68.557,2.400
68.607,2.117
68.657,1.794
68.707,1.746
68.757,2.002
68.807,1.957
68.857,2.221
68.907,1.548
68.957,2.079
69.007,2.131
69.057,2.088
69.107,1.875
69.157,1.886
69.207,2.289
69.257,2.232
69.307,2.024
69.357,2.022
69.407,1.706
69.457,2.294
69.507,1.566
69.557,2.289
69.607,2.277
69.657,1.910
69.707,2.045
69.757,1.860
69.807,1.995
69.857,2.138
69.907,1.710
69.957,2.009
70.007,1.804
70.057,2.018
70.107,2.277
70.157,2.247
70.207,1.995
70.257,1.902
70.307,2.114
70.357,1.871
70.407,1.785
70.457,2.092
70.507,2.118
70.557,1.925
70.607,2.067
70.657,2.306
70.707,2.079
70.757,2.045
70.807,1.818
70.857,2.137
70.907,1.952
70.957,2.111
71.007,2.166
71.057,2.085
71.107,2.207
71.157,1.724
71.207,2.397
71.257,2.122
71.307,2.028
71.357,2.113
71.407,2.096
71.457,2.339
71.507,2.155
71.557,2.228
71.607,2.043
71.657,2.046
71.707,2.026
71.757,1.850
71.807,2.153
71.857,2.338
71.907,2.340
71.957,2.027
72.007,2.230
72.057,2.481
72.107,1.864
72.157,2.251
72.207,1.912
72.257,2.100
72.307,1.949
72.357,2.382
72.407,2.439
72.457,2.110
72.507,2.560
72.557,2.009
72.607,2.202
72.657,2.039
72.707,2.272
72.757,2.296
72.807,2.076
72.857,2.327
72.907,2.276
72.957,2.259
73.007,2.577
73.057,2.375
73.107,2.822
73.157,2.722
73.207,2.127
73.257,2.389
73.307,2.487
73.357,2.245
73.407,2.554
73.457,2.426
73.507,2.290
73.557,2.153
73.607,2.694
73.657,1.994
73.707,2.228
73.757,2.667
73.807,2.600
73.857,2.258
73.907,2.515
73.957,2.525
74.007,2.486
74.057,2.710
74.107,2.139
74.157,2.493
74.207,2.610
74.257,2.730
74.307,2.319
74.357,2.384
74.407,2.458
74.457,2.189
74.507,2.493
74.557,2.474
74.607,2.496
74.657,2.418
74.707,2.583
74.757,2.357
74.807,2.614
74.857,2.556
74.907,2.462
74.957,2.794
75.008,2.574
75.058,2.270
75.108,2.331
75.158,2.655
75.208,2.554
75.258,2.867
75.308,2.507
75.358,2.667
75.408,2.549
75.458,2.671
75.508,2.346
75.558,2.628
75.608,2.291
75.658,2.827
75.708,2.512
75.758,2.623
75.808,2.482
75.858,2.729
75.908,2.558
75.958,2.447
76.008,2.595
76.058,2.797
76.108,2.967
76.158,2.503
76.208,2.434
76.258,2.486
76.308,2.590
76.358,2.390
76.408,2.698
76.458,2.763
76.508,2.837
76.558,2.590
76.608,2.997
76.658,2.270
76.708,2.518
76.758,2.559
76.808,2.515
76.858,2.673
76.908,2.165
76.958,2.822
77.008,2.746
77.058,3.215
77.108,2.886
77.158,3.027
77.208,2.947
77.258,2.949
77.308,2.179
77.358,2.380
77.408,2.919
77.458,2.693
77.508,3.086
77.558,2.851
77.608,2.823
77.658,2.670
77.708,2.628
77.758,2.669
77.808,3.089
77.858,2.702
77.908,2.685
77.958,2.957
78.008,2.694
78.058,2.656
78.108,2.739
78.158,2.637
78.208,3.335
78.258,2.818
78.308,2.759
78.358,2.746
78.408,2.719
78.458,2.865
78.508,2.801
78.558,2.647
78.608,3.101
78.658,3.027
78.708,3.166
78.758,2.769
78.808,3.163
78.858,3.080
78.908,2.679
78.958,2.887
79.008,2.848
79.058,2.961
79.108,2.582
79.158,2.418
79.208,3.125
79.258,2.846
79.308,3.470
79.358,3.032
79.408,2.741
79.458,2.866
79.508,2.878
79.558,3.007
79.608,3.069
79.658,2.938
79.708,3.013
79.758,3.068
79.808,3.252
79.858,2.764
79.908,2.902
79.958,2.818
80.008,2.914
80.058,2.997
80.108,2.782
80.158,3.041
80.208,3.033
80.258,3.062
80.308,2.930
80.358,2.905
80.408,3.034
80.458,2.796
80.508,2.673
80.558,2.898
80.608,2.895
80.658,2.904
80.708,3.198
80.758,2.942
80.808,3.308
80.858,3.273
80.908,3.037
80.958,3.155
81.008,3.180
81.058,3.096
81.108,3.503
81.158,2.860
81.208,3.357
81.258,3.019
81.308,3.227
81.358,3.113
81.408,3.446
81.458,3.616
81.508,3.224
81.558,3.078
81.608,3.256
81.658,3.345
81.708,3.231
81.758,2.986
81.808,3.327
81.858,3.233
81.908,2.983
81.958,3.182
82.008,3.327
82.058,2.902
82.108,3.153
82.158,3.024
82.208,3.153
82.258,3.253
82.308,3.612
82.358,3.330
82.408,3.410
82.458,2.971
82.508,3.459
82.558,3.783
82.608,3.081
82.658,3.328
82.708,3.054
82.758,3.437
82.808,3.458
82.858,3.260
82.908,3.316
82.958,3.674
83.008,2.861
83.058,3.774
83.108,3.032
83.158,3.162
83.208,3.327
83.258,3.261
83.308,3.345
83.358,3.258
83.408,3.229
83.458,3.109
83.508,3.161
83.558,3.746
83.608,3.263
83.658,3.625
83.708,3.358
83.758,3.110
83.808,3.574
83.858,3.368
83.908,3.111
83.958,3.454
84.008,3.358
84.058,3.737
84.108,3.475
84.158,3.325
84.208,3.914
84.258,3.418
84.308,3.460
84.358,3.427
84.408,3.539
84.458,3.238
84.508,3.950
84.558,3.213
84.608,3.205
84.658,3.384
84.708,3.464
84.758,3.786
84.808,3.287
84.858,3.338
84.908,3.576
84.958,3.366
85.009,3.216
85.059,3.458
85.109,3.190
85.159,3.581
85.209,3.521
85.259,3.575
85.309,3.413
85.359,3.509
85.409,3.680
85.459,3.437
85.509,3.427
85.559,3.541
85.609,3.199
85.659,3.434
85.709,3.575
85.759,3.557
85.809,3.501
85.859,3.260
85.909,3.750
85.959,3.358
86.009,3.567
86.059,3.452
86.109,4.041
86.159,3.667
86.209,3.525
86.259,3.701
86.309,3.337
86.359,3.956
86.409,3.686
86.459,3.799
86.509,3.740
86.559,4.004
86.609,3.862
86.659,3.756
86.709,3.591
86.759,3.509
86.809,3.880
86.859,3.652
86.909,3.436
86.959,3.778
87.009,3.553
87.059,3.494
87.109,3.613
87.159,3.372
87.209,3.902
87.259,3.672
